created_at,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,average_tweets_per_day,popularity,favourites_rate,follower_rate,friend_rate,bot_or_not
1,1,0,103,5,0,0,113,0,0.03,0.0,0.027,0.001,0.0,1
0,1,0,438,68751,33264,0,6867,0,2.238,115.974,0.133,3.153,2.471,0
19,0,0,8783,656,1413,0,9926,0,2.573,47.063,1.187,0.157,0.312,0
0,0,0,1104,61,213,0,365,0,0.186,22.146,0.446,0.031,0.103,0
1,1,0,3608,244,0,1,5732,0,1.823,0.0,0.764,0.075,0.0,1
13,0,0,1725,1858960,1226,1,147969,1,34.94,102.67,0.342,6.087,0.254,1
16,0,0,19231,785,1450,1,2818,0,1.15,48.536,2.18,0.278,0.465,0
15,0,0,883,389,817,1,4234,0,1.261,40.014,0.233,0.11,0.218,0
22,1,0,5718,18,0,0,1354,0,0.426,0.0,1.029,0.006,0.0,1
13,1,0,66,13,162,0,15,0,0.004,13.443,0.019,0.004,0.046,1
9,0,0,85,1404506,202,0,3104,1,0.785,75.209,0.021,5.875,0.05,0
20,0,0,666,280,1045,0,4886,0,1.364,39.202,0.17,0.075,0.256,0
18,1,1,315,58,0,0,44,0,0.016,0.0,0.107,0.021,0.0,1
9,1,0,0,256,1063,0,3453,0,1.956,38.676,0.0,0.135,0.471,1
2,0,0,2490,48,0,0,3322,0,1.178,0.0,0.633,0.017,0.0,1
11,1,0,1870,6,8,0,2772,0,0.729,4.276,0.4,0.002,0.002,1
4,0,0,8585,352,306,1,9049,0,2.525,33.596,1.222,0.094,0.082,1
18,1,0,0,7,0,0,0,0,0.0,0.0,0.0,0.004,0.0,0
4,1,0,135407,1032,1646,0,110514,0,97.714,51.404,4.794,0.648,0.898,0
21,0,0,2406,1383,2625,1,43155,0,11.459,56.945,0.494,0.313,0.529,0
15,0,0,36384,2130,3363,1,63376,0,20.391,62.241,2.542,0.522,0.733,0
1,0,0,172883,2921,1987,1,22366,0,7.213,60.607,4.039,0.664,0.495,0
1,1,0,1059,46,0,0,503,0,0.155,0.0,0.283,0.014,0.0,0
0,0,0,1800,407,683,1,2656,0,0.637,39.241,0.359,0.093,0.152,0
22,0,0,1181,139,180,1,18170,0,4.134,25.689,0.238,0.031,0.04,0
7,0,0,100298,970,1014,0,257545,0,64.354,47.616,3.26,0.217,0.226,1
15,0,0,3731,407,454,1,9758,0,2.462,36.791,0.663,0.098,0.108,0
2,1,0,0,1093,0,0,10910,0,7.689,0.0,0.0,0.571,0.0,1
17,0,0,6270,62304,339,1,7443,1,1.865,64.35,0.944,2.81,0.082,0
13,1,0,20,1865517,268,1,25917,0,6.845,80.782,0.005,6.202,0.068,0
0,0,0,6597,761,1964,1,19894,0,5.998,50.322,1.095,0.207,0.465,0
12,0,0,1700,16,80,1,2595,0,0.622,12.45,0.342,0.004,0.019,0
22,1,0,2173,500884,10756,1,4504,1,2.202,121.835,0.724,5.505,1.834,0
16,0,0,1830,8666,95,1,29249,1,12.157,41.386,0.566,1.526,0.039,0
8,1,0,685,44,637,0,111,0,0.041,24.585,0.226,0.016,0.212,1
0,0,0,70265,223,252,0,49873,0,37.783,29.945,3.993,0.156,0.175,0
6,1,0,787,13,142,0,1263,0,0.534,13.097,0.287,0.005,0.058,1
16,0,0,376844,696532,421852,1,36509,1,8.995,174.26,4.542,5.151,4.653,1
19,1,0,1591,275,508,0,5376,0,2.667,35.029,0.582,0.128,0.225,1
7,0,0,26632,1505,797,1,266175,0,70.529,48.894,2.087,0.336,0.192,1
22,0,0,36146,1014,516,1,25302,0,11.044,43.253,2.82,0.366,0.203,0
9,1,0,75,0,0,0,181,0,0.125,0.0,0.051,0.0,0.0,0
4,0,0,66221,210,1302,1,14753,0,13.412,38.386,4.114,0.175,0.781,0
6,0,0,2402,835237,40,1,4163,1,1.001,50.636,0.456,5.308,0.01,0
5,0,0,1360,301,1455,1,12141,0,3.022,41.592,0.292,0.072,0.309,0
16,0,0,970,117,0,0,3108,0,0.934,0.0,0.256,0.035,0.0,0
9,1,0,346,0,20,0,346,0,0.245,0.0,0.219,0.0,0.014,1
